Thématiques;Questions;reponse Lycée GT Bac;reponse Lycée Pro Bac;reponse Lycée Pro CAP;;Reponse Collège DNB
Absence;Dans le cas d'une absence injustifiée au cours d'une évaluation de fin de séquence, l'élève peut-il être renvoyé vers une épreuve d'évaluation différée ?;"Les candidats qui bénéficient d'une épreuve différée sont uniquement ceux qui attestent de blessures ou de problèmes de santé temporaires le jour d'un CCF prévu dans projet certificatif de l'établissement, authentifiés par l'autorité médicale scolaire. Peuvent également en bénéficier les candidats assidus qui, en cas de force majeure, ne peuvent être présents à la date fixée pour les épreuves du CCF, sous réserve de l'obtention de l'accord du chef d'établissement, après consultation des équipes pédagogiques.
Toute absence non justifiée à la date de l'une des épreuves prévues pour le CCF ou différées entraîne l'attribution de la note ""ABS"" (elle sera traduite en ""zéro"" par Santorin) pour l'épreuve correspondante.";"Les candidats qui bénéficient d'une épreuve différée sont uniquement ceux qui attestent de blessures ou de problèmes de santé temporaires le jour d'un CCF prévu dans projet certificatif de l'établissement, authentifiés par l'autorité médicale scolaire. Peuvent également en bénéficier les candidats assidus qui, en cas de force majeure, ne peuvent être présents à la date fixée pour les épreuves du CCF, sous réserve de l'obtention de l'accord du chef d'établissement, après consultation des équipes pédagogiques.
Toute absence non justifiée à la date de l'une des épreuves prévues pour le CCF ou différées entraîne l'attribution de la note ""ABS"" (elle sera traduite en ""zéro"" par Santorin) pour l'épreuve correspondante.";"Lorsqu’un candidat évalué en CCF est absent à une des situations de fin de séquence sans justification valable, la note zéro lui est attribuée. La note finale sera la moyenne des notes obtenues.
En revanche, s'il est absent sans justification à toutes les situations d'évaluation, il est déclaré « absent », ce qui entraîne, comme lorsqu'un candidat évalué par examen terminal est absent sans justification valable, la non-délivrance du diplôme (cf. règle générale prévue au sixième alinéa de l'article D. 337-16 du Code de l'éducation).
Seuls les candidats qui attestent de blessures ou de problèmes de santé temporaires, authentifiés par l'autorité médicale scolaire, peuvent bénéficier de situations d'évaluation différée. Peuvent également en bénéficier les candidats assidus qui, en cas de force majeure, ne peuvent être présents à la date fixée pour les épreuves du CCF, sous réserve de l'obtention de l'accord du chef d'établissement, après consultation des équipes pédagogiques.";;"Le principe des épreuves différées et du CCF n'existe pas au collège. Dans la mesure où l'évaluation au collège est construite sur le contrôle continu, et que l'enseignant dispose de suffisamment d'indications pour attribuer une note trimestrielle ou semestrielle représentative des acquisitions d'un élève, le renvoi vers une évaluation différée dans le temps n'est pas nécessaire. Pour être réellement représentative du niveau d'un élève, la moyenne doit nécessairement être construite à partir d'une pluralité de notes. Le contrôle continu implique un respect scrupuleux de l'obligation d'assiduité prévue par l'article L. 511-1 du Code de l'éducation, qui impose aux élèves de suivre l'intégralité des enseignements obligatoires et facultatifs auxquels ils sont inscrits. À ce titre, les élèves doivent accomplir les travaux qui leur sont demandés par les enseignants et se soumettre aux modalités du contrôle continu qui leur sont imposées. Ils sont tenus de suivre les enseignements correspondant au programme et figurant dans leur emploi du temps établi par l'établissement scolaire. Un suivi attentif de l'assiduité des élèves est mis en place dans chaque établissement  afin d'anticiper les difficultés éventuelles de constitution de moyennes. Lorsque l'absence répétée d'un élève aux évaluations est jugée par son professeur comme faisant peser un risque sur la représentativité de sa moyenne, une nouvelle évaluation est spécifiquement organisée à son intention. Dans l’hypothèse où une moyenne périodique n’est pas jugée « représentative », celle-ci peut être remplacée par la mention ""En attente"" sur le bilan périodique de l’élève."
Contexte de l'épreuve;Dans le cadre d'une évaluation en CA2, les élèves doivent-ils obligatoirement être confrontés à un environnement ou contexte inconnu ?;Dans le cadre d'une épreuve du CA2 en CCF, l'arrêté du 28 avril 2022 précise dans les principes d'élaboration des épreuves que celle-ci présente des éléments variés d’incertitude (2), en milieu plus ou moins connu, qui nécessitent de mener le jour de l’évaluation, seul ou à plusieurs, une analyse sur la pertinence du choix d’itinéraire. L'incertitude peut donc relèver d'une autre nature que celle du milieu connu ou inconnu. Elle peut être par exemple évènementielle (nature des obstacles, nombre de blocs ...). Dans le cadre de la séquence d'enseignement et l'évaluation en contrôle continu, il est possible de proposer une incertitude de milieu ou de contexte.;Dans le cadre d'une épreuve du CA2 en CCF, la circulaire du 02 avril 2025 ne précise pas dans les principes d'élaboration des épreuves que celle-ci présente des éléments variés d'incertitude en milieu inconnu. L'incertitude relève d'une autre nature que celle du milieu. Elle peut être par exemple évènementielle (nature des obstacles, nombre de blocs ...). Dans le cadre de la séquence d'enseignement et l'évaluation en contrôle continu, il est possible de proposer un incertitude de milieu ou de contexte.;Dans le cadre d'une épreuve du CA2 en CCF, la circulaire du 27 août 2025 précise dans les principes d'élaboration des épreuves que celle-ci présente des éléments variés d'incertitude en milieu connu. L'incertitude relève ici d'une autre nature que celle du milieu. Elle peut être par exemple évènementielle (nature des obstacles, nombre de blocs ...). Dans le cadre de la séquence d'enseignement et l'évaluation en contrôle continu, il est possible de proposer un incertitude de milieu ou de contexte.;;Au collège, les contextes d'évaluation de fin de séquence sont proposés et partagé par l'équipe pédagogique. S'il est possible de proposer un contexte inconnu pour une évaluation en CA2 (niveau des élèves, facilité matérielle), la contrainte n'est toutefois pas obligatoire règlementairement. Pour rappel, il n'existe pas de référence à des fiches certificatives nationales au collège.
Contexte de l'épreuve;L'épreuve différée doit-elle être positionnée après le CCF ou bien en fin d'année ?;La règlementation ne prévoit pas d'obligation en la matière. Chaque établissement fait le choix d'une organisation qui satisfait au mieux aux contraintes du contexte. Dans tous les cas, le projet d'évaluation de l'établissement indique les dates retenues pour les évaluations différées. Ces dates sont transmises à la CAHN dans le protocole certificatif de début d'année. Une ou plusieurs dates différentes peuvent être proposées.;La règlementation ne prévoit pas d'obligation en la matière. Chaque établissement fait le choix d'une organisation qui satisfait au mieux aux contraintes du contexte. Dans tous les cas, le projet d'évaluation de l'établissement indique les dates retenues pour les évaluations différées. Ces dates sont transmises à la CAHN dans le protocole certificatif de début d'année. Une ou plusieurs dates différentes peuvent être proposées.;La règlementation ne prévoit pas d'obligation en la matière. Chaque établissement fait le choix d'une organisation qui satisfait au mieux aux contraintes du contexte. Dans tous les cas, le projet d'évaluation de l'établissement indique les dates retenues pour les évaluations différées. Ces dates sont transmises à la CAHN dans le protocole certificatif de début d'année. Une ou plusieurs dates différentes peuvent être proposées.;;Le principe d'épreuve différée n'existe pas au collège dans la mesure où celle-ci est règlementairement prévue dans le cadre de la certification de la voie générale et technologique et de la voie professionnelle pour ce qui concerne le CCF.
;Un élève peut-il bénéficier de ses notes d’EPS (supérieures à 10) en cas de redoublement ?;""" Les élèves redoublant la classe de terminale conservent pendant leur deuxième année de terminale les notes de contrôle continu (moyennes annuelles) acquises l'année précédente, en classe de première. En revanche, ils ne conservent pas les notes de contrôle continu qu'ils ont obtenues pendant leur première année de terminale, avant leur redoublement.  Seuls les candidats qui ont échoué au baccalauréat antérieurement à la session 2021 et qui se représentent à l'examen ont la possibilité de conserver les notes qu'ils ont obtenues à la première session à laquelle ils se sont présentés dans les conditions fixées par la réglementation "" Bulletin officiel n°30 du 29 juillet 2021  BAC- Modalités d'évaluation des candidats";;;;Au collège, aucune règlementation n'est prévue dans les textes sur la conservation des notes au DNB en cas de redoublement.
;Les enseignants convoqués pour une co-évaluation sont-ils rémunérés ?;Si la co-évaluation est obligatoire dans la voie GT, il n'existe pas de texte règlementaire qui prévoit une rémunération pour ce type de mission qui entre dans les obligations de service des enseignants.;La question ne se pose pas dans la voie professionnelle dans la mesure où la co-évaluation n'est pas règlementaire pour la certification au baccalauréat professionnel.;La question ne se pose pas dans la voie professionnelle dans la mesure où la co-évaluation n'est pas règlementaire pour la certification au CAPl.;;La question ne se pose pas au collège dans la mesure où la co-évaluation n'est pas règlementaire pour la certification du DNB. Si l'organisation pédagogique prévoit la mise en place d'une co-évaluation, celle-ci doit être validée par l'autorité hiérarchique.
évaluer et noter;Comment évaluer un élève qui arrive dans l'établissement en fin de séquence d'enseignement ?;;;;;Lorsque la durée des enseignements ne permet pas à l'enseignant de proposer un ensemble de notes en lien avec les attendus de fin de cycle pour construire une moyenne trimestrielle représentative du niveau de l'élève, il peut l'indiquer sur le bulletin trimestriel. La note certificative proposée au DNB s'appuiera sur deux notes trimestrielles au lieu de trois.
évaluer et noter;Les élèves doivent-ils être associés aux choix de la répartition des points de chacun des critères d'évaluation ?;;;;;Dans le cadre du contrôle continu en collège, il est tout à fait possible /souhaitable que l'élève participe au choix des critères sur lesquels il va être évalué. Dans le cas d'une évaluation qui proposerait une ventilation des points sur un ou deux critères, il est également possible de proposer aux élèves de choisir leur répartition. Ces proposition participent du concept de contrôle continu qui invite à la proposition d'évaluations de natures et formes différentes pour rendre compte des acquisitions et de l'engagement de l'élève.
évaluer et noter;Les élèves doivent-ils être évalués sur deux rôles différents pour l'AFL3 ?;;;;;
évaluer et noter;Lorsque l'organisation de l'établissement prévoit 4 séquences d'enseignement différentes dans l'année, comment sont identifiées les 3 APSA support de la certification ?;;;;;La note certificative prise en compte pour le contrôle continu au collège est la moyenne des moyennes obtenues pour chacun des trimestres (semestres) lors de l’évaluation d’au moins trois activités physiques et sportives. Ces APSA doivent relever, autant que faire se peut, de trois champs d’apprentissage différents. Les modalités d’évaluation pour le DNB sont définies par l’équipe des enseignants d’EPS et communes à toutes les classes de troisième : elles sont décrites dans un protocole d’évaluation annexé au projet pédagogique EPS. Toutes les APSA pratiquées en classe de troisième sont potentiellement certificatives (à condition d’avoir bénéficié d’un nombre d’heures d’enseignement jugé suffisant par l’équipe EPS de l’établissement). Dans ce cas, les notes obtenues au cours des 4 séquences de 4 APSA différentes peuvent être prises en compte pour proposer une moyenne pour chacun des trimestres.
évaluer et noter;Les acquistions en EPS peuvent elles être évaluées à partir d'une épreuve écrite ou oral ?;"Les évaluations en EPS ne doivent pas faire l'objet de ""devoirs sur table"" ou d'interrogations orales pour valider un niveau de connaissances. Cependant, au lycée, les acquisitions attendues pour l'AFL3 relèvent d'un certain nombre de rôles différents selon les CA supports (coach, juge, spectateur, assureur etc..). Il est possible d'utiliser des procédures évaluatives qui intègrent l'écrit ou l'oral pour identifer un niveau d'acquisition. Pour exemple, le juge en gymnastique peut utiliser une fiche de jugement qui lui permet d'identifier les erreurs des gymnastes. En Danse, le spectateur peut exprimer par écrit ou à l'oral l'effet produit par la composition. Il est entendu que ces outils sont utilisés directement en lien avec l'activité motrice.";;;;"Les évaluations en EPS ne doivent pas faire l'objet de ""devoirs sur table"" ou d'interrogations orales pour valider un niveau de connaissances. Cependant, au collège et dans le cadre du contrôle continu, certaines acquisitions attendues relèvent d'un certain nombre de rôles différents selon les CA supports (coach, juge, spectateur, assureur etc..). Il est possible d'utiliser des procédures évaluatives qui intègrent l'écrit ou l'oral pour identifer un niveau d'acquisition. Pour exemple, le juge en gymnastique peut utiliser une fiche de jugement qui lui permet d'identifier les erreurs des gymnastes. En Danse, le spectateur peut exprimer par écrit ou à l'oral l'effet produit par la composition. Il est entendu que ces outils sont utilisés directement en lien avec l'activité motrice."
